district,division,lat,lon
Bagerhat,Khulna,22.6554781,89.7941813
Bandarban,Chattogram,21.787476,92.4124752
Barguna,Barishal,22.1313358,90.1172431
Barishal,Barishal,22.4934035,90.3548015
Bhola,Barishal,22.1435694,90.7904089
Bogura,Rajshahi,24.8500662,89.3728431
Brahmanbaria,Chattogram,23.9605999,91.1190893
Chandpur,Chattogram,23.2241763,90.6531005
Chapai Nawabganj,Rajshahi,24.5998869,88.2850466
Chattogram,Chattogram,22.333778,91.8344348
Chuadanga,Khulna,23.6436608,88.846448
Cox's Bazar,Chattogram,21.1766471,92.003505
Cumilla,Chattogram,23.4610615,91.1808748
Dhaka,Dhaka,23.7643863,90.3890144
Dinajpur,Rangpur,25.6260712,88.6346228
Faridpur,Dhaka,23.6040182,89.8415542
Feni,Chattogram,23.0127601,91.4049232
Gaibandha,Rangpur,25.0860006,89.8696436
Gazipur,Dhaka,23.9997558,90.4173629
Gopalganj,Dhaka,23.0049937,89.8303176
Habiganj,Sylhet,24.3746027,91.4140272
Jamalpur,Mymensingh,24.9255866,89.9436684
Jashore,Khulna,23.1665256,89.2094419
Jhalokathi,Barishal,22.5623905,90.1742815
Jhenaidah,Khulna,23.5446964,89.1731943
Joypurhat,Rajshahi,25.1114022,88.9884204
Khagrachhari,Chattogram,23.1077999,91.9889955
Khulna,Khulna,22.9372087,89.2852741
Kishoreganj,Dhaka,24.4339822,90.7857232
Kurigram,Rangpur,25.8130134,89.6430518
Kushtia,Khulna,23.8987955,89.1295536
Lakshmipur,Chattogram,22.9445365,90.8276345
Lalmonirhat,Rangpur,25.9163507,89.4461394
Madaripur,Dhaka,23.1675177,90.2047265
Magura,Khulna,23.4880772,89.4201824
Manikganj,Dhaka,23.8329836,89.9666878
Meherpur,Khulna,23.7817845,88.6369373
Moulvibazar,Sylhet,24.4880817,91.7630179
Munshiganj,Dhaka,23.5483797,90.5349722
Mymensingh,Mymensingh,24.8889305,90.3845187
Naogaon,Rajshahi,24.8073229,88.9445447
Narail,Khulna,25.0748842,90.391651
Narayanganj,Dhaka,23.6236732,90.4988075
Narsingdi,Dhaka,23.9197152,90.7152981
Natore,Rajshahi,24.4131849,88.9866684
Netrokona,Mymensingh,24.8915669,90.7125326
Nilphamari,Rangpur,25.9339275,88.8534588
Noakhali,Chattogram,22.2540799,91.1714399
Pabna,Rajshahi,24.0068082,89.2448341
Panchagarh,Rangpur,26.3209446,88.5471139
Patuakhali,Barishal,22.0084243,90.3826827
Pirojpur,Barishal,22.5095601,90.0072495
Rajbari,Dhaka,23.7398373,89.5704133
Rajshahi,Rajshahi,24.6285432,89.0376862
Rangamati,Chattogram,22.6509208,92.1814332
Rangpur,Rangpur,25.6376135,89.0826381
Satkhira,Khulna,22.7166509,89.0749857
Shariatpur,Dhaka,23.2132841,90.3481247
Sherpur,Mymensingh,25.0228367,90.0149736
Sirajganj,Rajshahi,24.4572235,89.7057047
Sunamganj,Sylhet,25.0671031,91.3985824
Sylhet,Sylhet,24.89922,91.8685271
Tangail,Dhaka,24.2738513,89.9375911
Thakurgaon,Rangpur,23.773143,90.3591626
