date,district,division,lat,lon,temp_c,humidity,pressure,wind_speed,clouds,rain,aqi,pm2_5,pm10,o3,no2,so2,co
2025-08-17,Bagerhat,Khulna,22.655478,89.794181,33.18,57,1003,4.38,94,0.0,1,1.96,4.07,45.56,0.11,0.1,110.3
2025-08-17,Bandarban,Chattogram,21.787476,92.412475,32.69,61,1004,0.45,100,0.0,1,1.27,2.44,43.81,0.17,0.07,118.31
2025-08-17,Barguna,Barishal,22.131336,90.117243,32.16,63,1003,5.22,99,0.0,1,2.45,4.34,47.76,0.12,0.1,119.26
2025-08-17,Barishal,Barishal,22.493403,90.354801,33.15,58,1003,5.09,100,0.48,1,1.93,4.0,44.83,0.09,0.07,110.47
2025-08-17,Bhola,Barishal,22.143569,90.790409,28.89,80,1004,6.56,100,0.0,1,2.32,4.72,47.58,0.08,0.1,117.01
2025-08-17,Bogura,Rajshahi,24.850066,89.372843,32.31,63,1004,3.28,86,0.0,1,6.51,8.42,33.4,5.72,2.97,206.14
2025-08-17,Brahmanbaria,Chattogram,23.9606,91.119089,32.06,74,1004,1.54,75,0.0,1,4.36,5.15,34.9,2.48,0.71,150.95
2025-08-17,Chandpur,Chattogram,23.224176,90.6531,28.37,80,1004,2.31,99,0.0,1,1.19,1.68,32.22,0.93,0.24,113.96
2025-08-17,Chapai Nawabganj,Rajshahi,24.599887,88.285047,33.66,57,1004,3.94,67,0.0,1,9.83,11.97,48.38,4.83,5.32,187.79
2025-08-17,Chattogram,Chattogram,22.333778,91.834435,31.93,70,1004,1.54,75,0.0,1,1.27,2.44,41.56,0.28,0.06,114.09
2025-08-17,Chuadanga,Khulna,23.643661,88.846448,31.31,70,1004,3.74,73,0.0,1,3.91,6.32,43.61,5.01,7.15,171.17
2025-08-17,Cox's Bazar,Chattogram,21.176647,92.003505,29.16,76,1004,5.82,99,0.0,1,2.08,4.17,47.49,0.13,0.11,119.87
2025-08-17,Cumilla,Chattogram,23.461061,91.180875,26.48,90,1004,1.49,100,0.0,1,2.47,3.0,36.22,1.38,0.35,126.24
2025-08-17,Dhaka,Dhaka,23.764386,90.389014,29.98,84,1004,1.54,75,0.0,1,1.93,2.52,36.11,1.54,0.41,127.35
2025-08-17,Dinajpur,Rangpur,25.626071,88.634623,35.24,50,1003,2.87,32,0.0,1,8.39,9.64,29.66,10.29,6.65,202.25
2025-08-17,Faridpur,Dhaka,23.604018,89.841554,28.21,83,1004,4.44,92,0.0,1,1.59,2.18,39.28,1.45,0.77,124.31
2025-08-17,Feni,Chattogram,23.01276,91.404923,30.0,71,1004,1.67,100,0.0,1,2.03,2.74,40.3,0.86,0.37,116.39
2025-08-17,Gaibandha,Rangpur,25.086001,89.869644,33.18,63,1004,2.66,74,0.0,1,9.67,11.42,25.56,7.84,1.45,244.08
2025-08-17,Gazipur,Dhaka,23.999756,90.417363,30.01,84,1004,1.54,75,0.0,1,2.91,3.69,34.51,2.24,0.51,142.95
2025-08-17,Gopalganj,Dhaka,23.004994,89.830318,32.1,63,1003,3.91,88,0.0,1,1.31,2.31,39.86,0.58,0.56,108.14
